,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
Snhg15,186,232,108,103,120,266,185,182
Snhg17,777,892,581,546,516,877,640,641
Snhg18,0,0,0,0,0,9,4,0
Snhg20,1864,1466,756,706,652,998,666,876
Snhg3,61,61,27,21,30,23,17,14
Snhg4,120,186,66,97,98,95,58,110
Snhg5,641,548,290,327,268,773,403,518
Snhg6,219,189,106,116,108,110,90,98
Snhg7,0,0,0,0,0,1,0,0
Snhg7os,0,1,0,0,0,0,0,0
Snhg8,96,283,151,156,69,168,111,148
Snhg9,16,21,12,4,2,5,3,8
Snip1,2536,2615,1591,1513,1716,438,1478,1635
Snn,45,57,2,6,1,245,111,133
Snora15,1,0,0,0,0,0,0,0
Snora16a,0,0,0,0,0,1,0,0
Snora17,0,0,1,0,0,0,1,0
Snora19,0,0,0,0,1,0,1,0
Snora20,0,0,1,0,0,0,0,0
Snora21,1,0,0,0,1,0,0,0
Snora23,0,0,1,0,0,0,0,0
Snora24,0,0,0,0,0,0,0,0
Snora26,0,0,0,0,0,0,0,0
Snora28,28,31,8,11,10,1,2,3
Snora2b,0,0,1,0,0,0,0,1
Snora3,0,0,0,0,0,0,0,0
Snora30,1,0,0,1,0,0,0,2
Snora31,9,6,3,5,2,4,2,2
Snora33,0,0,0,0,0,0,0,0
Snora34,0,1,0,0,1,0,0,0
Snora35,0,0,0,0,0,0,0,0
Snora36b,0,0,0,0,0,0,0,0
Snora41,1,8,0,1,0,4,1,6
Snora43,0,0,0,0,0,0,0,0
Snora44,0,0,0,0,0,0,0,0
Snora47,0,1,0,0,0,0,0,0
Snora52,0,0,0,0,0,0,0,0
Snora57,3,9,3,2,2,2,2,7
Snora5c,0,0,0,0,0,0,0,1
Snora61,0,0,0,0,0,0,0,0
Snora62,0,0,0,1,0,1,0,0
Snora64,0,0,0,0,0,0,0,0
Snora65,0,0,0,0,0,0,0,0
Snora68,0,0,0,0,0,0,0,0
Snora69,0,0,0,0,0,0,0,1
Snora70,0,0,0,0,0,0,0,0
Snora73a,1,2,1,1,3,1,2,0
Snora73b,0,0,0,0,0,0,0,0
Snora74a,0,0,0,0,0,0,0,0
Snora75,0,0,0,0,0,0,0,0
Snora78,2,5,3,0,0,6,1,1
Snora7a,0,0,0,0,0,0,0,0
Snora81,0,0,0,0,0,0,0,0
Snora9,0,0,0,0,0,0,0,0
Snord100,0,0,0,0,0,0,0,0
Snord104,0,3,1,0,0,1,2,1
Snord107,0,0,0,0,0,0,0,0
Snord11,0,0,0,0,0,0,0,0
Snord110,0,0,0,0,1,0,0,0
Snord111,0,1,0,0,1,0,0,0
Snord116l1,0,0,0,0,0,0,0,0
Snord116l10,0,0,0,0,0,0,0,0
Snord116l11,0,0,0,0,0,0,0,0
Snord116l12,0,0,0,0,0,0,0,0
Snord116l13,0,0,0,0,0,0,0,0
Snord116l14,0,0,0,0,0,0,0,0
Snord116l15,0,0,0,0,0,0,0,0
Snord116l16,0,0,0,0,0,0,0,0
Snord116l17,0,0,0,0,0,0,0,0
Snord116l2,0,0,0,0,0,0,0,0
Snord116l3,0,0,0,0,0,0,0,0
Snord116l4,0,0,0,0,0,0,0,0
Snord116l5,0,0,0,0,0,0,0,0
Snord116l6,0,0,0,0,0,0,0,0
Snord116l7,0,0,0,0,0,0,0,0
Snord116l8,0,0,0,0,0,0,0,0
Snord116l9,0,0,0,0,0,0,0,0
Snord118,9,19,3,0,2,6,6,2
Snord12,0,0,0,0,0,0,0,0
Snord123,0,0,0,0,0,0,0,0
Snord13,13,9,7,3,6,5,0,3
Snord14a,0,0,0,0,0,0,0,0
Snord14c,0,0,0,0,0,0,0,0
Snord14d,0,0,0,0,0,0,0,0
Snord14e,0,0,0,0,0,0,0,0
Snord15a,0,0,0,0,1,0,0,0
Snord15b,0,0,0,0,0,0,0,0
Snord16a,0,0,0,0,0,0,0,0
Snord17,4,10,3,6,2,2,2,1
Snord19,0,0,0,0,0,0,0,0
Snord1a,0,0,0,0,0,0,0,0
Snord1b,0,0,0,0,0,0,0,0
Snord1c,0,0,0,0,0,0,0,0
Snord2,0,0,0,0,0,0,0,0
Snord21,0,0,0,0,0,0,0,0
Snord22,0,0,0,0,0,0,0,0
Snord23,0,0,0,0,0,0,0,0
Snord32a,0,1,0,1,1,0,1,1
Snord33,0,0,0,0,0,0,0,0
Snord34,0,1,0,0,0,0,0,0
Snord35a,3,2,1,0,0,1,0,2
Snord35b,0,0,0,0,0,0,0,0
Snord37,0,1,0,0,0,0,0,0
Snord38a,0,0,0,0,0,0,0,0
Snord42a,0,0,0,0,0,0,0,0
Snord42b,0,1,0,0,0,0,0,0
Snord43,0,0,0,0,0,0,0,0
Snord45b,0,0,0,0,0,0,0,0
Snord45c,0,0,0,0,0,0,0,0
Snord47,0,0,0,0,0,0,0,0
Snord49a,1,2,0,0,0,0,0,1
Snord49b,0,0,0,3,0,0,0,0
Snord4a,0,0,0,0,0,0,0,0
